asset_url,kind,pagespeed,ref_count,referencing_pages
http://www.networkadvertising.org/pdfs/NAI_principles.pdf,file,0,1,/privacy-statement.html
https://www.200words-a-day.com/abeille.swf,image,0,1,/samples.html
https://www.200words-a-day.com/cgi-bin/CAPTCHA/Image.pl?domain=200words-a-day.com&name=1930854852106004,image,0,4,/learn-french-blog.html /learn-german-blog.html /learn-italian-blog.html /learn-spanish-blog.html
https://www.200words-a-day.com/cgi-bin/CAPTCHA/Image.pl?domain=200words-a-day.com&name=2950083936117346,image,0,1,/samples.html
https://www.200words-a-day.com/cgi-bin/CAPTCHA/Image.pl?domain=200words-a-day.com&name=3123713079036731,image,0,1,/200words-a-day-technical-help.html
https://www.200words-a-day.com/cgi-bin/CAPTCHA/Image.pl?domain=200words-a-day.com&name=4601369601859880,image,0,1,/free-german-lessons.html
https://www.200words-a-day.com/cgi-bin/CAPTCHA/Image.pl?domain=200words-a-day.com&name=5532318789865905,image,0,1,/free-german-lessons.html
https://www.200words-a-day.com/cgi-bin/CAPTCHA/Image.pl?domain=200words-a-day.com&name=8496560253467453,image,0,4,/contact-us.html /french-football.html /language-learning-questions.html /reconsideration.html
https://www.200words-a-day.com/cgi-bin/CAPTCHA/Image.pl?domain=200words-a-day.com&name=8502007820751397,image,0,1,/free-french-lessons.html
https://www.200words-a-day.com/image-files/15x15xclue.gif.pagespeed.ic.egfsbVdzTU.png,image,1,1,/200words-a-daytest2.html
https://www.200words-a-day.com/image-files/46x18xnext.gif.pagespeed.ic.XPwCzwvkOf.jpg,image,1,6,/200words-a-dayEx01.html /200words-a-dayEx02.html /200words-a-dayEx03.html /200words-a-dayEx04.html /200words-a-dayEx05.html /200words-a-dayEx06.html
https://www.200words-a-day.com/image-files/66x18xnext.gif.pagespeed.ic.QWH3_E7I--.jpg,image,1,8,/200words-a-daytest.html /200words-a-daytest2.html /Spanish-sentence-0.html /Spanish-sentence-1.html /Spanish-sentence-2.html /Spanish-sentence-3.html /Spanish-sentence-4.html /Spanish-sentence-5.html
https://www.200words-a-day.com/image-files/clue.gif,image,0,1,/200words-a-daytest.html
https://www.200words-a-day.com/image-files/xclue.gif.pagespeed.ic.Zv6ozqT1kB.png,image,1,5,/Spanish-sentence-1.html /Spanish-sentence-2.html /Spanish-sentence-3.html /Spanish-sentence-4.html /Spanish-sentence-5.html
https://www.200words-a-day.com/image-thumbnails/battere.jpg/default.webp,image,0,2,/language-learning-blog-1.html /language-learning-blog.html
https://www.200words-a-day.com/image-thumbnails/continuar.jpg/default.webp,image,0,2,/language-learning-blog-1.html /language-learning-blog.html
https://www.200words-a-day.com/image-thumbnails/despedir.jpg/default.webp,image,0,2,/language-learning-blog-1.html /language-learning-blog.html
https://www.200words-a-day.com/image-thumbnails/estar-in-spanish.jpg/default.webp,image,0,2,/language-learning-blog-1.html /language-learning-blog.html
https://www.200words-a-day.com/image-thumbnails/ir.gif/default.webp,image,0,2,/language-learning-blog-1.html /language-learning-blog.html
https://www.200words-a-day.com/image-thumbnails/lavar.jpg/default.webp,image,0,2,/language-learning-blog-1.html /language-learning-blog.html
https://www.200words-a-day.com/image-thumbnails/mettre.gif/default.webp,image,0,2,/language-learning-blog-1.html /language-learning-blog.html
https://www.200words-a-day.com/image-thumbnails/ricevere.jpg/default.webp,image,0,2,/language-learning-blog-1.html /language-learning-blog.html
https://www.200words-a-day.com/image-thumbnails/suer-small.jpg/default.webp,image,0,2,/language-learning-blog-1.html /language-learning-blog.html
https://www.200words-a-day.com/image-thumbnails/synchroniser-small.jpg/default.webp,image,0,2,/language-learning-blog-1.html /language-learning-blog.html
https://www.200words-a-day.com/image-thumbnails/trebucher-small.jpg/default.webp,image,0,2,/language-learning-blog-1.html /language-learning-blog.html
https://www.200words-a-day.com/image-thumbnails/venir.jpg/default.webp,image,0,2,/language-learning-blog-1.html /language-learning-blog.html
https://www.200words-a-day.com/images/10-most-important-french-verbs.jpg,image,0,1,/french-course.html
https://www.200words-a-day.com/images/10.gif,image,0,1,/10.html
https://www.200words-a-day.com/images/100x86xabrazar.jpg.pagespeed.ic.P0Ubrq3hSh.jpg,image,1,1,/spanish-verb-abrazar.html
https://www.200words-a-day.com/images/100x86xactuar.jpg.pagespeed.ic.T8eeWlo5WG.jpg,image,1,1,/spanish-verb-actuar.html
https://www.200words-a-day.com/images/100x86xadjudicar.jpg.pagespeed.ic.fZQ_FcFVGA.jpg,image,1,1,/spanish-verb-adjudicar.html
https://www.200words-a-day.com/images/100x86xaliar.jpg.pagespeed.ic.icuL-ExeCD.jpg,image,1,1,/spanish-verb-aliar.html
https://www.200words-a-day.com/images/100x86xalzar.jpg.pagespeed.ic.ZrVKMSQW8U.jpg,image,1,1,/spanish-verb-alzar.html
https://www.200words-a-day.com/images/100x86xanadir.jpg.pagespeed.ic.sb-aIOEiyw.jpg,image,1,1,/spanish-verb-anadir.html
https://www.200words-a-day.com/images/100x86xaplaudir.jpg.pagespeed.ic.dSNwY4lmRd.jpg,image,1,1,/spanish-verb-aplaudir.html
https://www.200words-a-day.com/images/100x86xasistir.gif.pagespeed.ic.7W1azN-Kug.png,image,1,1,/spanish-verb-asistir.html
https://www.200words-a-day.com/images/100x86xatender.jpg.pagespeed.ic.jtQdIe4lA7.jpg,image,1,1,/spanish-verb-atender.html
https://www.200words-a-day.com/images/100x86xaterrorizar.jpg.pagespeed.ic.XZXYjxkkbZ.jpg,image,1,1,/spanish-verb-aterrorizar.html
https://www.200words-a-day.com/images/100x86xatribuir.jpg.pagespeed.ic.D1rKgWnF1Q.jpg,image,1,1,/spanish-verb-atribuir.html
https://www.200words-a-day.com/images/100x86xautorizar.jpg.pagespeed.ic.HDNUIMoq4N.jpg,image,1,1,/spanish-verb-autorizar.html
https://www.200words-a-day.com/images/100x86xavanzar.jpg.pagespeed.ic.BG3MSly_pY.jpg,image,1,1,/spanish-verb-avanzar.html
https://www.200words-a-day.com/images/100x86xbarrer.jpg.pagespeed.ic.Q5uOdO0mpp.jpg,image,1,1,/spanish-verb-barrer.html
